subtaskID,datapointID,answer
1,0,317.826852
1,1,102.967586
1,2,149.079056
1,3,52.278031
1,4,377.813288
1,5,93.195555
1,6,258.018704
1,7,255.996849
1,8,258.844568
1,9,300.975947
1,10,295.332617
1,11,65.023020
1,12,130.536089
1,13,264.253624
1,14,88.303366
1,15,236.062004
1,16,199.701835
1,17,220.518939
1,18,278.403792
1,19,475.637677
1,20,119.817193
1,21,227.099792
1,22,274.906451
1,23,274.726437
1,24,262.254330
1,25,91.482823
1,26,171.565926
1,27,185.263813
1,28,103.470217
1,29,66.855122
1,30,325.451801
1,31,90.264168
1,32,183.938397
1,33,448.224945
1,34,67.028465
1,35,347.639488
1,36,161.457460
1,37,297.879922
1,38,98.218008
1,39,217.104646
1,40,95.143219
1,41,348.535745
1,42,180.453009
1,43,273.952366
1,44,372.886906
1,45,115.725237
1,46,82.366758
1,47,307.920809
1,48,115.537200
1,49,165.145522
1,50,151.594867
1,51,269.603602
1,52,234.087193
1,53,98.537340
1,54,233.845739
1,55,134.047484
1,56,253.714930
1,57,226.482698
1,58,114.034307
1,59,412.194672
1,60,91.726654
1,61,222.549297
1,62,90.443264
1,63,307.182611
1,64,178.753351
1,65,240.032914
1,66,89.733316
1,67,159.207915
1,68,185.409263
1,69,304.506718
1,70,84.156183
1,71,306.703786
1,72,94.203771
1,73,293.350127
1,74,294.371780
1,75,269.819452
1,76,126.385288
1,77,114.601484
1,78,68.008743
1,79,333.723324
1,80,90.053221
1,81,430.079297
1,82,299.312116
1,83,296.677741
1,84,115.049267
1,85,243.582302
1,86,124.104775
1,87,225.247221
1,88,282.748877
1,89,282.395467
1,90,334.675995
1,91,99.768074
1,92,84.581782
1,93,331.215710
1,94,522.025500
1,95,550.715098
1,96,390.022554
1,97,406.800957
1,98,288.195898
1,99,69.693123
1,100,306.048571
1,101,104.578797
1,102,337.287974
1,103,220.804933
1,104,312.369405
1,105,176.707593
1,106,124.151158
1,107,256.913896
1,108,92.281622
1,109,214.120015
1,110,407.859872
1,111,116.133410
1,112,403.066878
1,113,99.584170
1,114,236.628780
1,115,522.147197
1,116,382.794399
1,117,346.339438
1,118,230.620761
1,119,129.510640
1,120,166.402521
1,121,82.469390
1,122,196.669962
1,123,271.498259
1,124,423.770916
1,125,204.157557
1,126,430.681059
1,127,118.655869
1,128,116.638416
1,129,206.651129
1,130,249.064991
1,131,82.733749
1,132,263.490312
1,133,82.662957
1,134,119.520354
1,135,86.784548
1,136,205.146369
1,137,290.918016
1,138,319.634393
1,139,337.787140
1,140,293.611349
1,141,174.822836
1,142,114.048387
1,143,287.432140
1,144,320.123857
1,145,398.740421
1,146,82.195698
1,147,328.271105
1,148,60.329175
1,149,280.867278
1,150,230.200156
1,151,81.021055
1,152,170.871917
1,153,309.048713
1,154,250.234034
1,155,311.578632
1,156,325.419583
1,157,345.030124
1,158,390.592827
1,159,82.509779
1,160,131.487687
1,161,314.228199
1,162,123.220272
1,163,191.387827
1,164,134.192540
1,165,94.543244
1,166,262.882193
1,167,69.260817
1,168,262.073394
1,169,201.827561
1,170,195.549526
1,171,277.500917
1,172,356.083194
1,173,74.382502
1,174,208.542338
1,175,108.033953
1,176,298.995592
1,177,79.328622
1,178,287.233031
1,179,143.375362
1,180,322.884360
1,181,303.768663
1,182,95.217717
1,183,416.062245
1,184,360.121837
1,185,376.933098
1,186,440.254498
1,187,344.422655
1,188,90.616781
1,189,228.332292
1,190,83.849424
1,191,234.566685
1,192,322.029236
1,193,82.202382
1,194,156.643358
1,195,263.041413
