subtaskID,datapointID,answer
1,0,324.370978
1,1,99.985408
1,2,154.421340
1,3,43.354998
1,4,398.367490
1,5,89.746157
1,6,265.101629
1,7,264.765014
1,8,259.033395
1,9,299.867431
1,10,282.007017
1,11,57.122948
1,12,133.775792
1,13,255.525523
1,14,87.136759
1,15,233.532498
1,16,199.445798
1,17,217.065541
1,18,282.313378
1,19,485.308241
1,20,119.127221
1,21,224.581344
1,22,281.636735
1,23,271.023305
1,24,258.116792
1,25,88.982224
1,26,174.290442
1,27,184.466267
1,28,102.654936
1,29,59.105906
1,30,324.781150
1,31,89.578128
1,32,184.449885
1,33,456.319012
1,34,59.174331
1,35,343.711875
1,36,157.989178
1,37,293.769331
1,38,98.662305
1,39,215.236561
1,40,92.019578
1,41,348.210423
1,42,178.119488
1,43,270.458408
1,44,374.361931
1,45,112.892991
1,46,75.209505
1,47,309.610625
1,48,113.897468
1,49,165.101616
1,50,151.249250
1,51,264.973481
1,52,228.206628
1,53,94.431370
1,54,229.904534
1,55,130.197482
1,56,247.831617
1,57,221.021259
1,58,112.316235
1,59,418.792589
1,60,89.389173
1,61,217.609838
1,62,88.403377
1,63,303.121865
1,64,179.072564
1,65,233.625709
1,66,87.511408
1,67,159.534611
1,68,185.073453
1,69,305.608837
1,70,84.065943
1,71,302.719580
1,72,90.849417
1,73,291.893936
1,74,293.628212
1,75,269.881746
1,76,131.650251
1,77,110.900403
1,78,59.169180
1,79,327.646185
1,80,87.262010
1,81,434.515042
1,82,297.804884
1,83,291.614356
1,84,113.772280
1,85,242.363536
1,86,127.721744
1,87,218.546584
1,88,278.403994
1,89,276.974697
1,90,334.918152
1,91,95.443926
1,92,85.398683
1,93,338.088605
1,94,530.182212
1,95,563.742873
1,96,408.505920
1,97,428.685710
1,98,308.353468
1,99,68.789265
1,100,329.035086
1,101,106.600110
1,102,355.845755
1,103,233.503642
1,104,327.574024
1,105,180.387413
1,106,129.926237
1,107,264.192102
1,108,90.794624
1,109,217.634507
1,110,420.708663
1,111,116.569401
1,112,408.880236
1,113,99.778025
1,114,238.842895
1,115,525.578999
1,116,394.408587
1,117,356.233627
1,118,234.051028
1,119,129.292093
1,120,168.684398
1,121,81.872262
1,122,201.123848
1,123,278.594221
1,124,421.903703
1,125,205.326300
1,126,440.107909
1,127,117.608391
1,128,122.749290
1,129,208.582247
1,130,254.307101
1,131,81.561102
1,132,264.477789
1,133,81.358788
1,134,121.445898
1,135,84.386430
1,136,205.613755
1,137,292.565348
1,138,327.375989
1,139,346.847752
1,140,299.119656
1,141,174.795176
1,142,117.081097
1,143,291.837676
1,144,325.588549
1,145,388.387175
1,146,80.708882
1,147,329.884492
1,148,50.700067
1,149,282.362442
1,150,230.826487
1,151,79.261133
1,152,173.152136
1,153,310.756832
1,154,252.006331
1,155,316.713086
1,156,328.902956
1,157,353.336583
1,158,395.149061
1,159,82.418329
1,160,135.812808
1,161,320.497528
1,162,132.806149
1,163,204.274733
1,164,143.130130
1,165,100.904423
1,166,290.267884
1,167,68.921642
1,168,281.668230
1,169,216.719039
1,170,209.011497
1,171,298.303086
