subtaskID,datapointID,answer
1,0,220.890529
1,1,49.565333
1,2,112.065292
1,3,0.000000
1,4,363.937082
1,5,41.993979
1,6,223.517202
1,7,214.173120
1,8,203.273192
1,9,223.569561
1,10,194.563957
1,11,0.000000
1,12,87.554051
1,13,183.102876
1,14,48.809696
1,15,151.175671
1,16,129.615926
1,17,140.038368
1,18,245.016488
1,19,468.092324
1,20,63.172690
1,21,147.470273
1,22,235.315780
1,23,154.570460
1,24,177.762161
1,25,49.183025
1,26,101.949623
1,27,128.679762
1,28,52.309450
1,29,8.136407
1,30,259.481367
1,31,53.353715
1,32,132.189535
1,33,443.283269
1,34,8.747180
1,35,214.470025
1,36,64.545205
1,37,213.795279
1,38,53.829377
1,39,159.663573
1,40,49.460271
1,41,272.187241
1,42,126.702806
1,43,206.096755
1,44,337.632992
1,45,59.910527
1,46,18.810350
1,47,256.160774
1,48,56.925671
1,49,102.558785
1,50,97.866420
1,51,180.765597
1,52,165.704928
1,53,51.452324
1,54,174.921459
1,55,63.689526
1,56,176.640900
1,57,161.939954
1,58,63.461513
1,59,389.636270
1,60,55.525826
1,61,149.373900
1,62,55.583108
1,63,232.702151
1,64,133.373815
1,65,169.891158
1,66,55.605054
1,67,102.837517
1,68,132.913067
1,69,254.071181
1,70,56.625458
1,71,259.105054
1,72,52.581024
1,73,251.026276
1,74,258.922396
1,75,231.862400
1,76,101.720515
1,77,67.469912
1,78,13.204279
1,79,287.902089
1,80,52.872747
1,81,405.970555
1,82,229.828225
1,83,229.028039
1,84,60.065036
1,85,202.683451
1,86,99.344738
1,87,159.255469
1,88,227.247802
1,89,227.258150
1,90,307.573938
1,91,58.633995
1,92,60.864734
1,93,304.462283
1,94,319.953583
1,95,390.101924
1,96,297.662244
1,97,347.491296
1,98,224.513178
1,99,29.185274
1,100,257.731974
1,101,37.216245
1,102,306.253769
1,103,174.141056
1,104,236.504015
1,105,86.507874
1,106,78.310902
1,107,185.912086
1,108,33.235379
1,109,125.603371
1,110,370.627551
1,111,41.927185
1,112,312.147533
1,113,38.278711
1,114,108.007186
1,115,337.694998
1,116,339.524705
1,117,272.565873
1,118,134.130743
1,119,46.220452
1,120,88.768900
1,121,39.160557
1,122,145.946254
1,123,222.196704
1,124,291.784696
1,125,123.490346
1,126,363.246279
1,127,48.572039
1,128,82.087582
1,129,125.986081
1,130,188.863558
1,131,40.023678
1,132,167.679743
1,133,40.094399
1,134,76.427995
1,135,41.554554
1,136,147.183627
1,137,252.978478
1,138,263.896645
1,139,298.990543
1,140,229.545113
1,141,95.552976
1,142,78.984413
1,143,217.523103
1,144,291.669259
